No. Inputs,Width of Input,LUTs,WNS (ns)
8,8,64,-0.29
8,16,116,-0.29
8,32,121,-0.29
16,8,139,-0.29
16,16,251,-0.29
16,32,268,-0.29
32,8,290,-0.29
32,16,522,-0.29
32,32,571,-0.29
64,8,290,-0.29
64,16,522,-0.29
64,32,586,-0.29
24,16,387,-0.29
100,10,1098,-0.019
100,12,1298,-0.029
100,3,472,-0.073
100,4,548,-0.079
100,5,598,-0.049
100,6,698,-0.001
100,7,798,-0.067
100,8,898,-0.09
100,9,998,-0.079
150,10,1635,0.175
150,12,1933,0.175
150,3,704,0.154
150,4,815,0.175
150,5,890,0.183
150,6,1039,0.195
150,7,1188,0.183
150,8,1337,0.171
150,9,1486,0.186
200,10,2198,-0.056
200,12,2598,-0.048
200,3,948,-0.079
200,4,1098,-0.049
200,5,1198,-0.001
200,6,1398,-0.067
200,7,1598,-0.09
200,8,1798,-0.079
200,9,1998,-0.019
250,10,2733,0.183
250,12,3231,0.171
250,3,1176,0.186
250,4,1363,0.171
250,5,1488,0.187
250,6,1737,0.191
250,7,1986,0.154
250,8,2235,0.188
250,9,2484,0.131
300,10,3284,0.154
300,12,3882,0.183
300,3,1415,0.175
300,4,1640,0.131
300,5,1789,0.187
300,6,2088,0.183
300,7,2387,0.171
300,8,2686,0.186
300,9,2985,0.175
350,10,3833,0.188
350,12,4531,0.175
350,3,1652,0.183
350,4,1913,0.175
350,5,2088,0.186
350,6,2437,0.175
350,7,2786,0.183
350,8,3135,0.175
350,9,3484,0.183
400,10,4398,-0.029
400,12,5198,-0.029
400,6,2798,-0.09
400,7,3198,-0.079
400,8,3598,-0.019
400,9,3998,-0.056
450,10,4947,0.18
450,12,5847,0.104
450,6,3147,0.181
450,7,3597,0.056
450,8,4047,0.108
450,9,4497,0.092
500,10,5482,0.188
500,12,6480,0.188
500,6,3486,0.154
500,7,3985,0.188
500,8,4484,0.131
500,9,4983,0.183
